Tender,Company,Procurement,Notice,Location,Closing,Value,Date
"T0520 - Waste Management, Disposal and Recycling Services",None,Opportunity,Open,Any region,"12 October 2023, 12pm","£600,000",7 September 2023
ID 293753- Adult Supported Living Placement,None,Opportunity,Open,England,"20 September 2023, 12pm",£0,"6 September 2023, last edited  7 September 2023"
REQUEST FOR QUOTATION FOR  CARPENTRY & CREATION OF BESPOKE MOBILE FURNITURE - EVERYSPACE PROJECT,None,Opportunity,Open,England,"15 September 2023, 12pm","£17,000 to £35,000","19 July 2023, last edited  7 September 2023"
"Provision of External Facilities and Coaching/Training for Hockey at De Montfort University, Leicester",None,Opportunity,Open,LE1 9BH,"18 September 2023,  5pm","£0 to £84,090",7 September 2023
Project to quantify emissions of ammonia from abated reciprocating engines associated with different engine operating patterns.,None,Opportunity,Open,United Kingdom,"6 October 2023, 11:59pm","£30,000 to £50,000","7 September 2023, last edited  7 September 2023"
HSE RFQ -  Provision of a Combined polarised light/phase contrast microscope with digital camera,None,Opportunity,Open,SK17 9JN,"11 December 2023,  1pm","£1,000 to £25,000",7 September 2023
Nutrition content for early years practitioners,None,Future opportunity,Open,England,Approach to market date11 October 2023,"£33,083",7 September 2023
Bourne Leisure Centre Roof Repair,None,Opportunity,Open,East Midlands,"9 October 2023,  3pm","£130,000",7 September 2023
CONTRACT FOR THE PROVISION OF OIL CONTAINMENT SYSTEMS AND ASSOCIATED GOODS AND SERVICES,None,Opportunity,Open,Any region,"2 October 2023, 11am","£1,500,000",7 September 2023
"Provision for External Facilities and Coaching/Training for Cricket at De Montfort University, Leicester",None,Opportunity,Open,LE1 9BH,"18 September 2023,  5pm","£0 to £41,850",7 September 2023
Sustainable Oldham Strategic Partnership Agreement (SOSPA),None,Opportunity,Open,England,"9 October 2023, 12pm",£0,7 September 2023
PIN - Geosphere Characterisation,None,Early engagement,Open,OX11 0GD,11 October 2023,Publication date7 September 2023,None
Novel separation and direct measurement technologies for radionuclides and analytes,None,Early engagement,Open,United Kingdom,24 October 2023,Publication date7 September 2023,None
RA334038 - ENT and Suction Items,None,Opportunity,Open,SY3 8XQ,"22 September 2023,  5pm",£0,7 September 2023
Northamptonshire Children's Trust for the Provision of Homes for Children and Young  People in our Care  Independent Fostering Arrangements  and  Children's Homes,None,Opportunity,Open,East Midlands,"9 October 2023, 12pm","£258,000,000","6 September 2023, last edited  7 September 2023"
MARKET ENGAGEMENT FOR FRAMEWORK FOR THE SUPPLY OF DRUG & ALCOHOL TESTING EQUIPMENT & TESTING SERVICES ON BEHALF OF THE FAMILY DRUG AND ALCOHOL COURT NORTH EAST (FDAC NE),None,Early engagement,Open,North East,19 September 2023,Publication date7 September 2023,None
4 yr maintenance for cascade IOMAX Multi-modal system,None,Early engagement,Open,SE5 9RS,15 September 2023,Publication date7 September 2023,None
Measurement of evolved gases from radioactive samples,None,Early engagement,Open,United Kingdom,24 October 2023,Publication date7 September 2023,None
Norfolk and Suffolk Wetland Investigation. Group  6 Waveney and Little Ouse Valley,None,Opportunity,Open,East of England,"29 September 2023,  5pm","£10,000 to £49,999",7 September 2023
HyDUS Electrolyser,None,Opportunity,Open,Any region,"11 October 2023, 12pm","£0 to £294,000",7 September 2023
Enforcement Agency Services to Gedling Borough Council,None,Opportunity,Open,NG5 6LU,"3 November 2023, 12pm",£0,7 September 2023
Gloucestershire Health & Social Care Frameworks,None,Opportunity,Open,England,"31 October 2023, 12pm",£0,7 September 2023
Ground Floor Extension and Associated Works - Lowestoft,None,Opportunity,Open,IP12 1RT,"6 October 2023, 12pm","£0 to £75,000",7 September 2023
Norfolk and Suffolk Wetland Investigation. Group 5 West and North Norfolk,None,Opportunity,Open,East of England,"29 September 2023,  5pm","£10,000 to £49,999",7 September 2023
Provision of Alternate Venue Lettings within GL RFCA areas,None,Opportunity,Open,London,"12 October 2023, 12am",£1,7 September 2023
Waterhead Park Play Area - Safety Surfacing,None,Opportunity,Open,England,"9 October 2023, 12pm","£30,000",7 September 2023
"Single Storey Rear Extension - Yeading Lane, Hayes",None,Opportunity,Open,UB8 1UW,"5 October 2023, 12pm","£40,000",7 September 2023
2023-651 Pork Cost of Production,None,Opportunity,Open,CV3 4PE,"24 October 2023, 12pm","£96,000 to £288,000",7 September 2023
SOFT MARKET TESTING - PROVISION OF A DIGITAL GROWTH FACTORY,None,Early engagement,Open,South East,1 October 2023,"Publication date6 September 2023, last edited  7 September 2023",None
"Grounds Maintenance Services across Bristol, BANES, Somerset and South Gloucester",None,Opportunity,Open,England,"9 October 2023, 12pm","£6,000,000",7 September 2023
Remote Clinical Coding Outsourced Provision,None,Opportunity,Open,S60 2UD,"9 October 2023, 12pm","£100,000 to £10,000",7 September 2023
Go  Play Sandwell,None,Opportunity,Open,B69 3DB,"6 October 2023,  3pm","£401,976",7 September 2023
"Quotation for Supply of illuminated lighting and SFX display at Dartmouth Park, West Bromwich",None,Opportunity,Open,B69 3BS,"14 September 2023,  3pm","£17,000 to £27,000",7 September 2023
Norfolk and Suffolk Wetland Investigation. Group 4 Norfolk River Valleys,None,Opportunity,Open,East of England,"29 September 2023,  5pm","£10,000 to £49,999",7 September 2023
Luminate Education Group - ITSS Tender for Project A - Smothwall,None,Opportunity,Open,LS3 1AA,"20 September 2023, 12pm",£0,"6 September 2023, last edited  7 September 2023"
CHIC Kitchen Supply Framework 2023,None,Opportunity,Open,B186DS,"14 September 2023,  3pm","£60,000,000","24 July 2023, last edited  7 September 2023"
Norfolk and Suffolk Wetland Investigation. Group 3 Brecks South,None,Opportunity,Open,East of England,"29 September 2023,  5pm","£10,000 to £49,999",7 September 2023
Provision of Resurfacing at Tees and Hartlepool Dock 2023,None,Opportunity,Open,TS2 1AH,"6 October 2023,  1pm",£0,7 September 2023
Planned Kitchen & Bathroom - North North Region,None,Opportunity,Open,Yorkshire and the Humber,"7 October 2023, 12pm","£1,600,000",7 September 2023
Recruitment Agencies Framework,None,Opportunity,Open,North West,"9 October 2023, 12pm","£1,000,000",7 September 2023
Norfolk and Suffolk Wetland Investigation. Group 2 Brecks North,None,Opportunity,Open,East of England,"29 September 2023,  5pm","£10,000 to £49,999",7 September 2023
GB-Kettering: Willow Ward Replacement Roof Project for Northampton General Hospital Trust (NGH),None,Opportunity,Open,East Midlands,"5 October 2023, 12pm","£100,000 to £500,000",7 September 2023
CA12721 - London South East Colleges Invitation to Tender for a Recruitment & Staffing Framework,None,Opportunity,Open,BR2 8HE,"15 September 2023,  6pm",£0,"7 August 2023, last edited  7 September 2023"
"CA12764 - South Hampshire College Group - Invitation to Tender for a Project Manager for Building Design, Architectural and Contract Management Services",None,Opportunity,Open,PO14 1NH,"9 October 2023, 10am",£0,7 September 2023
707425450 - Defence Freight Movements Service (DFMS) - Industry Day,None,Early engagement,Open,BS34 8JH,12 October 2023,Publication date7 September 2023,None
Norfolk and Suffolk Wetland Investigation. Group 1 A11 corridor,None,Opportunity,Open,East of England,"29 September 2023,  5pm","£10,000 to £49,999",7 September 2023
2023 - 2024 Trees Supply,None,Opportunity,Open,AL8 6AE,"29 September 2023, 12:01pm","£20,000 to £40,000",7 September 2023
GB-TELFORD: Servicing and Response Maintenance of Air Conditioning and Air Handling Units,None,Opportunity,Open,West Midlands,"6 October 2023, 12pm","£100,000 to £500,000",7 September 2023
Distribution of Contacts Magazine,None,Opportunity,Open,NG5 6LU,"21 September 2023, 12pm",£0,7 September 2023
Cornish Manors (external decorations and repairs to communal parts),None,Opportunity,Open,England,"9 October 2023, 12pm","£125,000",7 September 2023
Conservation Area Review for Crewe,None,Opportunity,Open,CW1 2DL,"29 September 2023, 12pm","£50,000 to £70,000","29 August 2023, last edited  7 September 2023"
Wigan Council Civic Centre Refurbishment Enabling Works,None,Opportunity,Open,England,"4 October 2023,  2pm","£500,000",6 September 2023
Curriculum experts - Provision of Primary Curriculum and Early Years Foundation Stage Expert resource for the Standards and Testing Agency 2024 - 2026,None,Opportunity,Open,Any region,"30 October 2023, 12pm","£404,565",6 September 2023
HSE RFQ - REPLACEMENT/REFURBISHMENT OF A DUST TUNNEL FILTRATION SYSTEM,None,Opportunity,Open,SK17 9JN,"30 November 2023,  1pm","£1,000 to £40,000",6 September 2023
"JHG Scaffolding Contract (Lot 1 North, Lot 2 Tameside)",None,Opportunity,Open,North West,"9 October 2023, 12pm","£500,000",6 September 2023
Lifts Modernisation at Dawson Heights,None,Opportunity,Open,London,"6 October 2023, 12pm",£0,6 September 2023
C132 OAF Sites 2&4,None,Opportunity,Open,North West,"28 September 2023, 12pm","£40,000",6 September 2023
Project CARA,None,Opportunity,Open,North East,"13 October 2023, 12pm","£0 to £182,563",6 September 2023
North End Road Traffic Free Events - Stewarding and Security,None,Opportunity,Open,SW6 7EX,"11 October 2023, 12pm","£90,000",6 September 2023
Quantity Surveying Services - Quantity Surveying Services,None,Opportunity,Open,United Kingdom,"20 September 2023, 12pm","£100,000 to £150,000",6 September 2023
DaDA Virtual Production Studio,None,Opportunity,Open,NG1 4FQ,"17 October 2023, 12pm","£1,430,000",6 September 2023
GB-London: Urban Nature Project Audio Guide,None,Opportunity,Open,London,"2 October 2023, 12pm","£25,000 to £50,000",6 September 2023
Sexual Health Prevention and Promotion Services,None,Opportunity,Open,HU1 2AA,"13 October 2023, 12pm","£0 to £1,920,000",6 September 2023
COV - MARKET ENGAGEMENT - Coventry's Short Breaks services 2023,None,Opportunity,Open,CV1 2GN,"25 September 2023,  6pm",£0,6 September 2023
"Provision of a Learning Management System for Leicester, Leicestershire and Rutland (LLR) Safeguarding Children Partnerships",None,Early engagement,Open,United Kingdom,25 September 2023,Publication date6 September 2023,None
Pathways to Adulthood 2024,None,Opportunity,Open,England,"6 October 2023,  1pm","£4,372,291",6 September 2023
CA12763 - The Mercian Trust Walsall Studio School Digital Hub,None,Opportunity,Open,WS1 2PG,"4 October 2023,  5pm",£0,6 September 2023
National Training Programme: Handling difficult situations - caring for yourself and others with compassion,None,Opportunity,Open,LS2 7UE,"5 October 2023, 12pm","£100,000 to £300,000",6 September 2023
Technology Services 4,None,Future opportunity,Open,United Kingdom,Approach to market date15 October 2024,"£12,000,000,000","31 August 2023, last edited  6 September 2023"
Estate Management Services 2,None,Future opportunity,Open,United Kingdom,Approach to market date31 October 2024,"£650,000,000",6 September 2023
RA334030 - Uninterruptible Power Supply (UPS) battery replacement,None,Opportunity,Open,SY3 8XQ,"18 September 2023,  5:30pm",£0,6 September 2023
General Construction Multi Trade - GCMT - Education (20% VAT),None,Opportunity,Open,United Kingdom,"13 October 2023, 12pm","£950,000 to £1,100,000","1 September 2023, last edited  6 September 2023"
[RFI] Accounting Software - Education,None,Early engagement,Open,Yorkshire and the Humber,30 September 2023,"Publication date29 August 2023, last edited  6 September 2023",None
Call Off Contract for Purchase of Fitness Equipment,None,Opportunity,Open,RG31 7SD,"6 October 2023,  2pm","£61,000 to £120,000",6 September 2023
The supply of Beating Heart Products,None,Opportunity,Open,Any region,"22 September 2023, 12pm","£40,000 to £50,000",6 September 2023
MBC Fleet Maintenance,None,Opportunity,Open,England,"4 October 2023, 12pm",£0,"6 September 2023, last edited  6 September 2023"
Supply and Delivery of Paper & Associated Products,None,Opportunity,Open,North West,"29 September 2023,  2:30pm","£100,000",6 September 2023
SBC0923 Replacement of Obsolete Intercom and Door Entry Systems,None,Opportunity,Open,SG1 1HN,"13 October 2023, 12pm",£0,6 September 2023
Framework Agreement for Civil Engineering Works from 50k to 500k,None,Opportunity,Open,England,"6 October 2023, 12pm","£3,000,000",6 September 2023
SPS0034 Communal Door and Door Entry Systems,None,Opportunity,Open,England,"6 October 2023, 12pm","£80,000 to £180,000","5 September 2023, last edited  6 September 2023"
174_24 Science Consumables,None,Opportunity,Open,United Kingdom,"9 October 2023, 12pm","£960,000","6 September 2023, last edited  6 September 2023"
Pre-Operative Skin Preparation Equipment and Consumables,None,Opportunity,Open,Any region,"6 October 2023,  1pm","£8,300,000",6 September 2023
Demand de Devis - REPRODUCTION DES OUTILS (Printing),None,Opportunity,Open,W11 4TN,"18 September 2023,  6pm","£62,000",6 September 2023
LDC-318 Bore Street Refurb,None,Opportunity,Open,England,"27 September 2023, 12pm","£74,000",6 September 2023
Community Short Breaks for Disabled Children,None,Opportunity,Open,England,"11 October 2023, 12pm","£9,500,000",6 September 2023
PR2195 - Provision of a Political Monitoring Service,None,Opportunity,Open,England,"5 October 2023, 12pm","£17,000",6 September 2023
